"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","target_group","target_index","condition_label","correct","choices","correct_choice","trial_duration","flip_timestamps","response_ends_trial","number_of_apertures","number_of_dots","number_of_sets","coherent_direction","coherence","opposite_coherence","dot_radius","dot_side_length","dot_life","move_distance","aperture_width","aperture_height","dot_color","dot_shape","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","aperture_center_x","aperture_center_y","fixation_cross","fixation_cross_width","fixation_cross_height","fixation_cross_color","fixation_cross_thickness","border","border_thickness","border_color","canvas_width","canvas_height","target_direction","distractor_direction","response_angle_css","response_angle_rdk","angular_error","reward_points","rotation_angle","key_press"
"88049","Welcome to the experiment. Press any key to begin.","Enter","html-keyboard-response","0","2.1.0","88051","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98735","
        <div class=""instructions-container"">
          <h2>Instructions</h2>
          <p>In this experiment, you will see <strong>two random dot kinematograms (RDKs)</strong> simultaneously.</p>
          <p>RDK consists of white dots or black dots moving in a specific direction.</p>
          <p>Your task is to determine the direction of the <strong>target RDK</strong> based on the <strong>number of dots</strong>.</p>
          <p>For instance, if the white RDK has more dots than the black RDK, the white RDK is the target so you should respond to the direction of the white RDK.</p>
          <p>After viewing the RDKs, you will rotate a bar to indicate the perceived direction of the target RDK using the <strong>left and right arrow keys</strong>. <strong>Press Enter</strong> when you are ready to submit your response.</p>
          <p>You will receive points based on the <strong>accuracy of your response</strong>. Try to be as accurate as possible!</p>
          <p>You will have three practice trials. Press <strong>Enter</strong> key to start the practice phase.</p>
        </div>
      ","Enter","html-keyboard-response","1","2.1.0","186787","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div class=""fixation"" style=""font-size: 60px;"">+</div>","null","html-keyboard-response","2","2.1.0","187790","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-1","","","rdk","3","2.0.0","189797","black","1","B_H_vs_W_L","false","ALL_KEYS","[""a""]","2000","[]","false","2","[50,100]","1","[10,100]","1","0","2","1","-1","1","300","300","[""white"",""black""]","circle","#AAA","3","2","2","16.908333333333335","[13,16,25,9,17,17,17,17,17,17,17,17,17,17,17,17,16,18,17,17,17,16,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,16,18,17,17,17,16,18,17,17,17]","120","735","461.5","true","15","15","#111","1","true","2","transparent","1470","923","100","10","","","","","",""
"18726","
        <div class=""response-container"">
          <div class=""response-instruction"">
            <p>rotate the bar by using the left and right arrow keys.</p>
            <p>when you are determined, press the Enter key.</p>
          </div>
          <div class=""response-circle"">
            <div class=""response-fixation""></div>
            <div id=""bar"" class=""rotating-bar""></div>
          </div>
        </div>
      ","Enter","html-keyboard-response","4","2.1.0","208526","black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","14","76","-24","4","59",""
"null","
          <p style=""color: #00FF00;"">Your reward: 4 points</p>
        ","null","html-keyboard-response","5","2.1.0","210530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div class=""fixation"" style=""font-size: 60px;"">+</div>","null","html-keyboard-response","6","2.1.0","211532","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-1","","","rdk","7","2.0.0","213538","white","0","W_H_vs_B_L","false","ALL_KEYS","[""a""]","2000","[]","false","2","[100,50]","1","[150,30]","1","0","2","1","-1","1","300","300","[""white"",""black""]","circle","#AAA","3","2","2","16.858333333333334","[7,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,16,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17]","120","735","461.5","true","15","15","#111","1","true","2","transparent","1470","923","150","30","","","","","",""
"5896","
        <div class=""response-container"">
          <div class=""response-instruction"">
            <p>rotate the bar by using the left and right arrow keys.</p>
            <p>when you are determined, press the Enter key.</p>
          </div>
          <div class=""response-circle"">
            <div class=""response-fixation""></div>
            <div id=""bar"" class=""rotating-bar""></div>
          </div>
        </div>
      ","Enter","html-keyboard-response","8","2.1.0","219436","white","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","","-72","162","12","7","59",""
"null","
          <p style=""color: #00FF00;"">Your reward: 7 points</p>
        ","null","html-keyboard-response","9","2.1.0","221440","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
